Anapa-Vityazevo,-4447,244021,138,45.013174733772,37.359783477556
Krasnodar-Center,11652,366766,-87,45.087429883845,38.925202300775
Novorossiysk,-40299,279853,137,44.673329604127,37.78622606048
Krymsk,-7349,293711,-40,44.961383022734,37.985886938697
Maykop-Khanskaya,-27625,457047,-39,44.671440257355,40.021427482236
Gelendzhik,-50995,297848,-41,44.567674586004,38.004146350528
Sochi-Adler,-165163,460901,-62,43.439378434051,39.924231880466
Krasnodar-Pashkovsky,8706,388985,132,45.046099641543,39.203066906325
Sukhumi-Babushara,-221381,565908,63,42.852741071635,41.142447588488
Gudauta,-195650,515898,-152,43.124233340197,40.564175768401
Batumi,-356437,618210,54,41.603279859649,41.60927548351
Senaki-Kolkhi,-281903,648379,85,42.238728081573,42.061021312856
Kobuleti,-317604,636704,109,41.932105353453,41.876483823101
Kutaisi,-284582,685029,106,42.17915393769,42.4956840774
Mineralnye Vody,-52089,707418,64,44.218646823807,43.100679733081
Nalchik,-125487,759560,-56,43.51007143853,43.625108736098
Mozdok,-83329,835634,97,43.791303250938,44.620327262102
Tbilisi-Lochini,-314926,895724,-128,41.674720064437,44.946875226153
Soganlug,-318656,896274,47,41.641163266787,44.947183065317
Vaziani,-318191,902331,-136,41.637735936262,45.01909093846
Beslan,-148472,842251,-94,43.208500987381,44.588922553543
