255652,360021
235652,308021
227652,252021
195652,202021
185652,306021
177652,252021
175652,142021
173652,78021
171652,-181978
169652,-251978
145652,192021
143652,-315978
135652,302021
127652,-7978
127652,242021
125652,128021
123652,46021
121652,-201978
119652,-265978
111652,-95978
107652,-151978
95652,178021
83652,-315978
77652,228021
75652,96021
73652,38021
71652,-215978
69652,-265978
61652,-101978
57652,-165978
45652,146021
33652,-353978
27652,196021
27652,248021
25652,90021
21652,-215978
19652,-303978
11652,-115978
11652,-57978
7652,-165978
-4347,146021
-16347,-363978
-22347,196021
-24347,72021
-28347,-253978
-30347,-313978
-30347,246021
-38347,-115978
-38347,-65978
-40347,-413978
-42347,-203978
-42347,22021
-50347,300021
-54347,122021
-66347,-363978
-72347,172021
-74347,72021
-76347,350021
-78347,-263978
-80347,-313978
-80347,222021
-88347,-153978
-88347,-103978
-88347,-53978
-90347,-447978
-92347,-213978
-92347,-3978
-100347,272021
-104347,122021
-110347,400021
-116347,-397978
-122347,172021
-124347,46021
-126347,322021
-128347,-263978
-130347,-347978
-130347,222021
-138347,-163978
-138347,-113978
-138347,-63978
-140347,-453978
-142347,-213978
-142347,-13978
-150347,272021
-154347,96021
-156347,450021
-160347,372021
-166347,-403978
-172347,146021
-174347,36021
-176347,322021
-178347,-297978
-180347,-353978
-180347,196021
-188347,-163978
-188347,-113978
-188347,-63978
-190347,-497978
-192347,-247978
-192347,-13978
-192347,500021
-200347,246021
-204347,86021
-206347,422021
-206347,556021
-210347,372021
-216347,-447978
-222347,136021
-224347,36021
-226347,296021
-228347,-303978
-230347,-397978
-230347,186021
-238347,-197978
-238347,-147978
-238347,-97978
-240347,-513978
-242347,-253978
-242347,-47978
-242347,472021
-250347,236021
-254347,86021
-256347,422021
-256347,522021
-256347,572021
-260347,346021
-266347,-463978
-272347,136021
-274347,2021
-276347,286021
-278347,-347978
-280347,-413978
-280347,186021
-288347,-203978
-288347,-153978
-288347,-103978
-290347,-533978
-292347,-297978
-292347,-53978
-292347,472021
-300347,236021
-302347,622021
-304347,52021
-306347,396021
-306347,522021
-306347,572021
-310347,336021
-316347,-483978
-322347,102021
-324347,-3978
-326347,286021
-328347,-363978
-330347,-433978
-330347,152021
-338347,-247978
-338347,-197978
-338347,-147978
-342347,-313978
-342347,-97978
-342347,446021
-350347,202021
-356347,386021
-356347,496021
-356347,546021
-356347,596021
-360347,336021
-366347,-509978
-372347,86021
-376347,252021
-378347,-383978
-380347,-459978
-388347,-263978
-388347,-213978
-392347,-333978
-392347,436021
-400347,162021
-406347,386021
-406347,486021
-406347,536021
-410347,302021
-426347,238021
-428347,-407978
-438347,-283978
